Geography,Name_Geography,Year,RPL_Themes,WeightedAvgQuintile,TotalPopulation,Condition_TotalPop
County,King County,2018,0.1601,0.822862234780884,5084,4270.0516
County,King County,2018,0.0284,0.952011638249996,3212,3120.7792
County,King County,2018,0.569,0.379223327034418,5964,2570.484
County,King County,2018,0.5606,0.379223327034418,5319,2337.1686
County,King County,2018,0.5627,0.379223327034418,4727,2067.1171
County,King County,2018,0.6251,0.379223327034418,3992,1496.6008
County,King County,2018,0.0499,0.952011638249996,3763,3575.2263
County,King County,2018,0.4539,0.634212606975398,4253,2322.5633
County,King County,2018,0.0055,0.952011638249996,4477,4452.3765
County,King County,2018,0.4699,0.634212606975398,8680,4601.268
County,King County,2018,0.0208,0.952011638249996,4935,4832.352
County,King County,2018,0.5024,0.379223327034418,2913,1449.5088
County,King County,2018,0.0561,0.952011638249996,4838,4566.5882
County,King County,2018,0.3555,0.634212606975398,2749,1771.7305
County,King County,2018,0.1649,0.822862234780884,7817,6527.9767
County,King County,2018,0.0783,0.952011638249996,4322,3983.5874
County,King County,2018,0.3853,0.634212606975398,7179,4412.9313
County,King County,2018,0.2606,0.634212606975398,6841,5058.2354
County,King County,2018,0.7346,0.379223327034418,5300,1406.62
County,King County,2018,0.6597,0.379223327034418,6744,2294.9832
County,King County,2018,0.4006,0.634212606975398,6657,3990.2058
County,King County,2018,0.3195,0.634212606975398,4042,2750.581
County,King County,2018,0.201,0.822862234780884,3740,2988.26
County,King County,2018,0.0347,0.952011638249996,3436,3316.7708
County,King County,2018,0.2349,0.822862234780884,4119,3151.4469
County,King County,2018,0.7124,0.379223327034418,3821,1098.9196
County,King County,2018,0.6202,0.379223327034418,6534,2481.6132
County,King County,2018,0.3486,0.634212606975398,4046,2635.5644
County,King County,2018,0.4255,0.634212606975398,5179,2975.3355
County,King County,2018,0.2315,0.822862234780884,6490,4987.565
County,King County,2018,0.3915,0.634212606975398,2963,1802.9855
County,King County,2018,0.2945,0.634212606975398,8719,6151.2545
County,King County,2018,0.5135,0.379223327034418,5556,2702.994
County,King County,2018,0.2557,0.634212606975398,5030,3743.829
County,King County,2018,0.3209,0.634212606975398,2392,1624.4072
County,King County,2018,0.1691,0.822862234780884,2923,2428.7207
County,King County,2018,0.1975,0.822862234780884,5653,4536.5325
County,King County,2018,0.3936,0.634212606975398,5691,3451.0224
County,King County,2018,0.2675,0.634212606975398,6217,4553.9525
County,King County,2018,0.0839,0.952011638249996,4895,4484.3095
County,King County,2018,0.8905,0.127658473899107,5450,596.775
County,King County,2018,0.14,0.822862234780884,8438,7256.68
County,King County,2018,0.1324,0.822862234780884,8459,7339.0284
County,King County,2018,0.0125,0.952011638249996,2647,2613.9125
County,King County,2018,0.0589,0.952011638249996,5038,4741.2618
County,King County,2018,0.1559,0.822862234780884,7245,6115.5045
County,King County,2018,0.1954,0.822862234780884,4431,3565.1826
County,King County,2018,0.1379,0.822862234780884,6461,5570.0281
County,King County,2018,0.1989,0.822862234780884,5076,4066.3836
County,King County,2018,0.2918,0.634212606975398,4662,3301.6284
County,King County,2018,0.4297,0.634212606975398,4085,2329.6755
County,King County,2018,0.1573,0.822862234780884,4051,3413.7777
County,King County,2018,0.6784,0.379223327034418,5376,1728.9216
County,King County,2018,0.3299,0.634212606975398,6153,4123.1253
County,King County,2018,0.4809,0.634212606975398,4259,2210.8469
County,King County,2018,0.0146,0.952011638249996,3661,3607.5494
County,King County,2018,0.4643,0.634212606975398,5588,2993.4916
County,King County,2018,0.377,0.634212606975398,4969,3095.687
County,King County,2018,0.4421,0.634212606975398,5097,2843.6163
County,King County,2018,0.4518,0.634212606975398,4904,2688.3728
County,King County,2018,0.3922,0.634212606975398,5539,3366.6042
County,King County,2018,0.0852,0.952011638249996,3956,3618.9488
County,King County,2018,0.4913,0.379223327034418,8831,4492.3297
County,King County,2018,0.5884,0.379223327034418,4114,1693.3224
County,King County,2018,0.3257,0.634212606975398,5005,3374.8715
County,King County,2018,0.6625,0.379223327034418,4562,1539.675
County,King County,2018,0.3666,0.634212606975398,5842,3700.3228
County,King County,2018,0.0998,0.952011638249996,4365,3929.373
County,King County,2018,0.5558,0.379223327034418,3664,1627.5488
County,King County,2018,0.3507,0.634212606975398,4329,2810.8197
County,King County,2018,0.8261,0.127658473899107,3834,666.7326
County,King County,2018,0.4213,0.634212606975398,3691,2135.9817
County,King County,2018,0.0513,0.952011638249996,6987,6628.5669
County,King County,2018,0.4997,0.379223327034418,5601,2802.1803
County,King County,2018,0.4865,0.634212606975398,3592,1844.492
County,King County,2018,0.4449,0.634212606975398,5189,2880.4139
County,King County,2018,0.21,0.822862234780884,3172,2505.88
County,King County,2018,0.0825,0.952011638249996,2663,2443.3025
County,King County,2018,0.0021,0.952011638249996,3615,3607.4085
County,King County,2018,0.5918,0.379223327034418,7597,3101.0954
County,King County,2018,0.9466,0.127658473899107,8415,449.361
County,King County,2018,0.5281,0.379223327034418,6613,3120.6747
County,King County,2018,0.7976,0.127658473899107,5679,1149.4296
County,King County,2018,0.0464,0.952011638249996,6899,6578.8864
County,King County,2018,0.0298,0.952011638249996,4421,4289.2542
County,King County,2018,0.6895,0.379223327034418,7054,2190.267
County,King County,2018,0.9633,0.127658473899107,3719,136.4873
County,King County,2018,0.6355,0.379223327034418,4480,1632.96
County,King County,2018,0.8392,0.127658473899107,4957,797.0856
County,King County,2018,0.9917,0.127658473899107,4697,38.9851
County,King County,2018,0.8032,0.127658473899107,3736,735.2448
County,King County,2018,0.343,0.634212606975398,1045,686.565
County,King County,2018,0.1698,0.822862234780884,8328,6913.9056
County,King County,2018,0.4484,0.634212606975398,4970,2741.452
County,King County,2018,0.9529,0.127658473899107,4600,216.66
County,King County,2018,0.2959,0.634212606975398,7468,5258.2188
County,King County,2018,0.7325,0.379223327034418,4938,1320.915
County,King County,2018,0.806,0.127658473899107,4303,834.782
County,King County,2018,0.8053,0.127658473899107,7084,1379.2548
County,King County,2018,0.2003,0.822862234780884,4570,3654.629
County,King County,2018,0.7533,0.127658473899107,8025,1979.7675
County,King County,2018,0.596,0.379223327034418,4817,1946.068
County,King County,2018,0.9071,0.127658473899107,4276,397.2404
County,King County,2018,0.0977,0.952011638249996,7326,6610.2498
County,King County,2018,0.246,0.822862234780884,5675,4278.95
County,King County,2018,0.0187,0.952011638249996,5551,5447.1963
County,King County,2018,0.1227,0.822862234780884,6254,5486.6342
County,King County,2018,0.192,0.822862234780884,5783,4672.664
County,King County,2018,0.4144,0.634212606975398,6614,3873.1584
County,King County,2018,0.754,0.127658473899107,6754,1661.484
County,King County,2018,0.9106,0.127658473899107,3675,328.545
County,King County,2018,0.0845,0.952011638249996,4854,4443.837
County,King County,2018,0.6584,0.379223327034418,2665,910.364
County,King County,2018,0.8801,0.127658473899107,2869,343.9931
County,King County,2018,0.9064,0.127658473899107,2420,226.512
County,King County,2018,0.7616,0.127658473899107,4872,1161.4848
